,bbox,id,maxDate,minDate,title,timePeriodsRange,area
20155,"41.0, 37.0, 42.0, 38.0",kasjari,-540,-1600,Kašjari,"-1600.0,-540.0",
20156,"41.0, 37.0, 42.0, 38.0",masion,640,-330,Masion,"-330.0,640.0",
20157,"41.0, 37.0, 42.0, 38.0",kasijari,-1000,-1600,Kašijari,"-1600.0,-1000.0",
20158,"41.0, 37.0, 42.0, 38.0",tur-2bfabdin,750,632,Ṭūr ʿAbdīn,"632.0,750.0",
20159,"41.0, 37.0, 42.0, 38.0",tourabdion,640,300,Tourabdion,"300.0,640.0",
20160,"41.0, 37.0, 42.0, 38.0",turabdin,640,300,Turabdin,"300.0,640.0",
20161,"41.0, 37.0, 42.0, 38.0",tourabdion-1,640,300,Tourabdiōn,"300.0,640.0",
20162,"41.0, 37.0, 42.0, 38.0",kephania,640,300,Kephania,"300.0,640.0",
20163,"70.0, 30.0, 75.0, 35.0",galalabad,2000,-540,Ǧalālābād,"-540.0,2000.0",
20164,"70.0, 30.0, 75.0, 35.0",galal-abad,2000,1918,Ǧalāl-Ābād,"1918.0,2000.0",
20165,"70.0, 30.0, 75.0, 35.0",galalkot,2000,1918,Ǧalālkōṯ,"1918.0,2000.0",
20166,"70.0, 30.0, 75.0, 35.0",galalabad-1,2000,1918,Ǧalālābād,"1918.0,2000.0",
20167,"70.0, 30.0, 75.0, 35.0",galal-kot,2000,1918,Galāl-Kót,"1918.0,2000.0",
20168,"70.0, 30.0, 75.0, 35.0",galalabab,2000,1918,Ǧalalābāb,"1918.0,2000.0",
20169,"70.0, 30.0, 75.0, 35.0",gelalabad,-140,-330,Ǧelālābād,"-330.0,-140.0",
20170,"70.0, 30.0, 75.0, 35.0",nikaia,-140,-330,Nikaia,"-330.0,-140.0",
20171,"70.0, 30.0, 75.0, 35.0",adinapur,1500,1500,Ādīnapūr,"1500.0,1500.0",
20172,"70.0, 30.0, 75.0, 35.0",adinapur-1,1500,1500,Adīnapūr,"1500.0,1500.0",
20173,"44.0, 33.0, 45.0, 34.0",diyala-survey,-2000,-2335,Diyālā Survey,"-2335.0,-2000.0",
20174,"44.0, 33.0, 45.0, 34.0",ds,-2000,-2335,DS,"-2335.0,-2000.0",
20175,"40.0, 15.0, 45.0, 20.0",sa2bfda,2000,-1200,Ṣaʿda,"-1200.0,2000.0",
20176,"40.0, 15.0, 45.0, 20.0",sa2bfda-1,1186,819,Saʿda,"819.0,1186.0",
20177,"40.0, 36.0, 41.0, 37.0",tall-ziyada,-2350,-2950,Tall Ziyāda,"-2950.0,-2350.0",
20178,"40.0, 36.0, 41.0, 37.0",tall-ziyad,-2600,-6200,Tall Ziyād,"-6200.0,-2600.0",
20179,"37.0, 37.0, 37.5, 37.5",gaziantep,2000,-6200,Gaziantep,"-6200.0,2000.0",
20180,"37.0, 37.0, 37.5, 37.5",ayntap,2000,1918,Ayntap,"1918.0,2000.0",
20181,"37.0, 37.0, 37.5, 37.5",gaziantep-1,-700,-1200,Gaziantep,"-1200.0,-700.0",
20182,"37.0, 37.0, 37.5, 37.5",2bfaintab,1291,1099,ʿAintāb,"1099.0,1291.0",
20183,"37.0, 37.0, 37.5, 37.5",hamtab,1291,1099,Hamtab,"1099.0,1291.0",
20184,"37.0, 37.0, 37.5, 37.5",2bfain-tab,-1199,-1200,ʿAin Ṭāb,"-1200.0,-1199.0",
20185,"37.0, 37.0, 37.5, 37.5",2bfaintab-1,1918,-1200,ʿAinṭāb,"-1200.0,1918.0",
20186,"37.0, 37.0, 37.5, 37.5",2bfa131ntab,850,650,ʿAıntāb,"650.0,850.0",
20187,"37.0, 37.0, 37.5, 37.5",ay131ntap,2000,1918,Ayıntap,"1918.0,2000.0",
20188,"37.0, 37.0, 37.5, 37.5",2bfantab,1501,1258,ʿAnṭāb,"1258.0,1501.0",
20189,"37.0, 37.0, 37.5, 37.5",2bfayntab,1922,1453,ʿAyntab,"1453.0,1922.0",
20190,"40.0, 36.0, 41.0, 37.0",tall-mal2bfabiya,-2350,-6200,Tall Malʿabīya,"-6200.0,-2350.0",
20191,"40.0, 36.0, 41.0, 37.0",tall-meilebiya,-3750,-6200,Tall Meīlebīya,"-6200.0,-3750.0",
20192,"25.0, 40.0, 25.5, 40.5",kilid-ul-bahreyn,1683,1453,Kilīd ūl-Baḥreyn,"1453.0,1683.0",
20193,"25.0, 40.0, 25.5, 40.5",kilitbahir,2000,1918,Kilitbahir,"1918.0,2000.0",
20194,"25.0, 40.0, 25.5, 40.5",kilid-ul-bahreyn-1,1683,1453,Kilid ül-Baḥreyn,"1453.0,1683.0",
20195,"25.0, 40.0, 25.5, 40.5",kilid-ul-bahreyn-2,1683,1453,Kilid-ül Baḥreyn,"1453.0,1683.0",
20196,"25.0, 40.0, 25.5, 40.5",burgeyn,1683,1453,Būrǧeyn,"1453.0,1683.0",
20197,"25.0, 40.0, 25.5, 40.5",kilid-ul-bahreyn-3,1683,1453,Kilīd ūl-Baḥreyn,"1453.0,1683.0",
20198,"45.0, 31.0, 46.0, 32.0",warka-survey,-2000,-2335,Warka Survey,"-2335.0,-2000.0",
20199,"45.0, 31.0, 46.0, 32.0",ws,-2000,-2335,WS,"-2335.0,-2000.0",
20200,"34.0, 37.5, 34.5, 38.0",nigde,2000,-1750,Niğde,"-1750.0,2000.0",
20201,"34.0, 37.5, 34.5, 38.0",nagida,1450,300,Nagida,"300.0,1450.0",
20202,"34.0, 37.5, 34.5, 38.0",nahita,-700,-1450,Naḫita,"-1450.0,-700.0",
20203,"34.0, 37.5, 34.5, 38.0",magida,1450,300,Magida,"300.0,1450.0",
20204,"34.0, 37.5, 34.5, 38.0",nigde-1,1918,1500,Nigde,"1500.0,1918.0",
20205,"34.0, 37.5, 34.5, 38.0",nigde-2,1683,1300,Niġde,"1300.0,1683.0",
20206,"34.0, 37.5, 34.5, 38.0",nigda,1307,1077,Nigda,"1077.0,1307.0",
20207,"34.0, 37.5, 34.5, 38.0",nigde-3,1683,1453,Niğde,"1453.0,1683.0",
20208,"34.0, 37.5, 34.5, 38.0",nigde-4,2000,-1450,Niǧde,"-1450.0,2000.0",
20209,"33.0, 36.0, 33.5, 36.5",ura,-540,-1450,Ura,"-1450.0,-540.0",
20210,"35.0, 32.5, 35.5, 33.0",nawa,2000,-330,Nawā,"-330.0,2000.0",
20213,"45.0, 32.0, 46.0, 33.0",2bfafak,2000,1918,ʿAfak,"1918.0,2000.0",
20214,"57.0, 36.0, 58.0, 37.0",sabzevar,2000,-1200,Sabzevār,"-1200.0,2000.0",
20215,"57.0, 36.0, 58.0, 37.0",sabzavar,1918,-1200,Sabzavār,"-1200.0,1918.0",
20216,"57.0, 36.0, 58.0, 37.0",sabzawar,1258,750,Sabzawār,"750.0,1258.0",
20217,"57.0, 36.0, 58.0, 37.0",baihaq,1258,819,Baihaq,"819.0,1258.0",
20218,"47.0, 29.0, 48.0, 30.0",al-kuwait,2000,1683,al-Kuwait,"1683.0,2000.0",
20219,"47.0, 29.0, 48.0, 30.0",kuweit,1918,1683,Kuweit,"1683.0,1918.0",
20220,"47.0, 29.0, 48.0, 30.0",kuwait,1950,1683,Kuwait,"1683.0,1950.0",
20221,"47.0, 29.0, 48.0, 30.0",al-kuwait-1,2000,1918,al-Kuwait,"1918.0,2000.0",
20232,"3.0, 46.0, 4.0, 47.0",aquae-calidae,640,-30,Aquae Calidae,"-30.0,640.0",
20251,"41.0, 36.0, 42.0, 37.0",tall-hamukar,-1600,-2950,Tall Ḥamūkār,"-2950.0,-1600.0",
20252,"41.0, 36.0, 42.0, 37.0",hamukar,-1000,-1600,Hamūkār,"-1600.0,-1000.0",
20254,"8.0, 42.0, 9.0, 43.0",ouiriballon-akron,300,-330,Ouiriballon Akron,"-330.0,300.0",
20255,"9.0, 42.0, 10.0, 43.0",ouolerios,300,-330,Ouolerios,"-330.0,300.0",
20261,"9.0, 41.0, 10.0, 42.0",pitanos,300,-330,Pitanos,"-330.0,300.0",
20262,"9.0, 41.0, 10.0, 42.0",praesidium,300,-30,Praesidium,"-30.0,300.0",
20263,"8.0, 42.0, 9.0, 43.0",rhion-akron,300,-330,Rhion Akron,"-330.0,300.0",
